rackTotCnt,stationName,parkingBikeTotCnt,shared,stationLatitude,stationLongitude,stationId
46,207. 여의나루역 1번출구 앞,2,4,37.52715683,126.93190002,ST-73
22,209. 유진투자증권빌딩 앞,1,5,37.52461243,126.92783356,ST-55
19,213. KT앞,2,11,37.52190781,126.91895294,ST-59
21,214. 금융감독원 앞,0,0,37.52302170,126.92083740,ST-60
10,215. 여의도고교 앞,1,10,37.52483749,126.93490601,ST-64
15,217. NH농협은행 앞,0,0,37.52207947,126.93036652,ST-66
12,219. 롯데캐슬엠파이어 옆,0,0,37.52069473,126.92583466,ST-62
30,220. 미성아파트 A동 앞,0,0,37.51936340,126.92604828,ST-63
10,221. 여의도초교 앞,1,10,37.52267456,126.93778992,ST-67
12,222. 시범아파트버스정류장 옆,2,17,37.51902008,126.93688965,ST-68
20,223. 진주아파트상가 앞,3,15,37.51913071,126.93337250,ST-69
20,224. 롯데캐슬 앞,0,0,37.52008820,126.93236542,ST-70
26,225. 앙카라공원 앞,0,0,37.51758575,126.92961884,ST-71
19,226. 샛강역 1번출구 앞,0,0,37.51776505,126.92841339,ST-72
20,227. 양평1나들목 보행통로 입구,23,115,37.54466629,126.88835907,ST-277
10,228. 선유도역 3번출구 앞,8,80,37.53845978,126.89450836,ST-278
25,229. 양평1 보행육교 앞,3,12,37.53587341,126.89218140,ST-279
13,230. 영등포구청역 1번출구,1,8,37.52463531,126.89621735,ST-413
10,231. 남부고용노동지청 남측,3,30,37.52450562,126.89182281,ST-280
20,232. 양평우림 이비즈센타 앞,29,145,37.52565002,126.88781738,ST-281
10,233. 양평1동 YP센터 앞,2,20,37.52848816,126.89164734,ST-282
10,235. 신길동 우리은행 옆,5,50,37.50456619,126.91023254,ST-284
10,236. 문래동자이아파트 앞,24,240,37.51615524,126.89461517,ST-285
20,237. 보라매 두산위브 건너편,34,170,37.49651337,126.91480255,ST-286
17,238. 제2구민체육센타 앞,3,18,37.52638626,126.90275574,ST-287
19,239. 유스호스텔 앞,14,74,37.52585220,126.90328217,ST-288
10,240. 문래역 4번출구 앞,0,0,37.51873779,126.89557648,ST-289
10,241. 신길우성1차아파트 앞 공원,15,150,37.50501633,126.89853668,ST-290
15,242. 신길선원가와인아파트 앞,3,20,37.51093292,126.91022491,ST-291
15,243. 이앤씨드림타워 앞,4,27,37.52708435,126.89138031,ST-292
20,244. 영등포삼환아파트 앞,16,80,37.53007889,126.90570831,ST-293
14,245. 삼성생명 당산사옥 앞,0,0,37.52826309,126.89662933,ST-294
14,247. 당산역 10번출구 앞,2,14,37.53342056,126.90223694,ST-295
10,248. 초원아파트 앞,1,10,37.53105545,126.92420959,ST-296
16,249. 여의도중학교 옆,0,0,37.52457809,126.93580627,ST-297
10,250. 대림아파트 사거리,6,60,37.50764084,126.92308044,ST-298
10,251. 서울지방병무청 버스정류장,0,0,37.50449371,126.92195129,ST-299
10,252. 보라매역4번출구,4,40,37.49982834,126.91994476,ST-300
10,254. 도림신협 앞,26,260,37.50380325,126.90341949,ST-302
15,255. 도림사거리,9,60,37.50657272,126.90113068,ST-303
10,256. 동아에코빌입구,13,130,37.50947571,126.89929962,ST-304
14,258. 신길역3번출구,5,36,37.51769257,126.91429901,ST-306
17,259. 대방역6번출구,64,376,37.51359177,126.92593384,ST-307
15,260. 여의도 마리나선착장 앞,0,0,37.53365707,126.91216278,ST-414
12,263. 근로자회관 사거리,31,258,37.51715088,126.88862610,ST-417
15,264. 교보생명보험 앞,19,127,37.52193069,126.89161682,ST-418
11,265. 영등포유통상가 사거리,2,18,37.52113342,126.89653778,ST-419
10,266. 영등포청과시장 사거리,5,50,37.52029419,126.90119171,ST-420
10,267. 삼성화재 사옥 옆,3,30,37.53596115,126.89830017,ST-421
6,268. 그랜드컨벤션센터 앞,4,67,37.53471756,126.90000153,ST-422
10,270. 증권거래소후문교차로,0,0,37.52234268,126.92710114,ST-424
10,271. 샛강생태공원방문자센터 앞,0,0,37.51896286,126.92161560,ST-425
20,272. 당산육갑문,23,115,37.53533936,126.90367889,ST-426
10,275. 신동아아파트,17,170,37.52269745,126.88568115,ST-1320
10,276. 영등포로터리2,6,60,37.51828384,126.91263580,ST-1321
10,278. 쌍용플레티넘오피스텔,22,220,37.50793076,126.89523315,ST-1323
15,279. 영등포 푸르지오 아파트 B,19,127,37.51322937,126.90446472,ST-1353
10,280. 양평동6차현대아파트 앞,49,490,37.53210068,126.89443970,ST-1539
8,281. 대림신동아아파트 앞,8,100,37.49824142,126.89398193,ST-1540
10,282. 신한은행 대림동지점,13,130,37.48752975,126.90487671,ST-1541
15,283. 아크로타워 스퀘어(영등포시장),28,187,37.52251816,126.90721893,ST-1649
16,284. 센트럴 푸르지오 시티 앞,3,19,37.51821136,126.90222931,ST-1650
9,285. 콤텍시스템 앞,4,44,37.49985886,126.89723969,ST-1651
12,286. 우성아파트 교차로,17,142,37.49457169,126.89974976,ST-1652
10,287. 영등포전화국사거리 (서강어린이공원),9,90,37.52576828,126.90573883,ST-1653
10,288. 쌍용예가(구청별관),8,80,37.52809906,126.89338684,ST-1677
10,289. 대림3동사거리,14,140,37.49980927,126.89800262,ST-1697
12,290. 새말소공원,23,192,37.53150940,126.89782715,ST-1698
14,291. 문래동 하이테크 시티,0,0,37.51412964,126.89939117,ST-1699
10,292. 영일 어린이공원,33,330,37.51012039,126.90406799,ST-1700
15,293. 충북 미래관,11,73,37.52917099,126.90757751,ST-1701
10,295.영등포공원 분수대 앞,12,120,37.51481247,126.91170502,ST-1967
20,296.KT플라자 영등포점,23,115,37.52630234,126.90538025,ST-1968
10,297.국회3문,0,0,37.52863693,126.91267395,ST-1969
25,298.KBS 연구동 건너편,0,0,37.52750778,126.91429901,ST-1970
10,299.여의도 순복음교회,0,0,37.53179169,126.92245483,ST-1971
6,300. 정동사거리,2,33,37.56805038,126.96923065,ST-116
20,301. 경복궁역 7번출구 앞,20,100,37.57579422,126.97145081,ST-117
12,302. 경복궁역 6번출구 뒤,11,92,37.57561493,126.97289276,ST-118
8,303. 광화문역 1번출구 앞,0,0,37.57176971,126.97466278,ST-119
16,305. 종로구청 옆,1,6,37.57255936,126.97833252,ST-121
11,307. 서울역사박물관 앞,0,0,37.56999969,126.97109985,ST-123
31,308. 광화문 S타워 앞,0,0,37.56996918,126.97393799,ST-124
13,309. 광화문역 6번출구 옆 B,0,0,37.56996155,126.97615814,ST-125
8,310. 청계광장 옆,0,0,37.56887817,126.97747040,ST-126
10,314. 국립현대미술관,0,0,37.57970810,126.98085785,ST-130
8,316. 종각역 1번출구 앞,2,25,37.57039642,126.98178864,ST-132
10,318. 광교사거리 남측,0,0,37.56863403,126.98231506,ST-134
17,320. 을지로입구역 4번출구 앞,5,29,37.56622314,126.98358917,ST-136
15,321. KEB 하나금융그룹 명동사옥 옆,8,53,37.56546402,126.98413849,ST-137
10,322. 명동성당 앞,0,0,37.56447601,126.98696899,ST-138
8,324. 신세계백화점 본점 앞,6,75,37.56134415,126.98050690,ST-140
15,326. 안국역 5번출구 앞,3,20,37.57624054,126.98616028,ST-142
10,327. 낙원상가 옆,0,0,37.57335663,126.98746490,ST-143
11,328. 탑골공원 앞,1,9,37.57039642,126.98818970,ST-144
8,329. 청계2가 사거리 옆,0,0,37.56848526,126.98788452,ST-145
10,331. 을지로2가 사거리 북측,0,0,37.56638336,126.98720551,ST-147
5,332. 을지로2가 사거리 남측,0,0,37.56599045,126.98779297,ST-148
10,334. 종로3가역 2번출구 뒤,7,70,37.57059860,126.99179077,ST-150
10,335. 종로3가역 15번출구 앞,11,110,37.57019424,126.99165344,ST-151
8,336. 충무로역 6번출구 앞,1,13,37.56144714,126.99311066,ST-152
5,337. 창경궁 입구,2,40,37.57897949,126.99647522,ST-153
18,338. 세운스퀘어 앞,0,0,37.57095718,126.99712372,ST-154
10,339. 종로4가 사거리,5,50,37.57106781,126.99819183,ST-155
8,340. 혜화동 로터리,11,138,37.58562851,127.00067902,ST-156
8,341. 혜화역 3번출구 뒤,4,50,37.58156967,127.00178528,ST-157
22,342. 대학로 마로니에공원,5,23,37.57978439,127.00253296,ST-158
6,343. 힐스테이트창경궁 아파트 앞,6,100,37.57561111,127.00469971,ST-159
10,344. 성균관대 E하우스 앞,8,80,37.57419968,127.00659180,ST-160
18,345. 서울보증보험본사 앞,10,56,37.57330704,127.00070953,ST-161
10,346. 맥스타일 앞,2,20,37.56896210,127.01014709,ST-162
18,347. 동대문역사문화공원역 9번출구 앞,5,28,37.56533051,127.00784302,ST-163
14,348. 독립문역 사거리,22,157,37.57202911,126.96078491,ST-183
5,349. 어린이도서관,0,0,37.57633209,126.96858978,ST-165
5,351. 청운초교 앞 삼거리,2,40,37.58496857,126.97041321,ST-167
10,352. 중앙고입구 삼거리,1,10,37.58341599,126.98523712,ST-168
8,353. 재동초교 앞 삼거리,1,13,37.57938766,126.98494720,ST-169
10,354. 포르투갈 대사관 앞,3,30,37.57915497,126.98896027,ST-170
15,355. 서울사대부설초등학교 앞,2,13,37.57650757,127.00245667,ST-171
15,356. KT혜화지사 앞,1,7,37.57714462,127.00205994,ST-172
13,358. 성균관대입구 사거리 A,9,69,37.58250046,126.99853516,ST-173
8,359. 원남동사거리,6,75,37.57606125,126.99768066,ST-174
10,361. 동묘앞역 1번출구 뒤,15,150,37.57324219,127.01590729,ST-175
10,362. 청계8가사거리 A,25,250,37.57223511,127.02317810,ST-176
13,363. 신설동역 11번출구 뒤,25,192,37.57559204,127.02285004,ST-177
8,364. 창신역 1번출구 앞,3,38,37.57933426,127.01508331,ST-178
13,367. 독립문역 3-1번출구 ,32,246,37.57415771,126.95851898,ST-180
15,368. SK 서린빌딩 앞,1,7,37.56924820,126.98053741,ST-181
23,370. 시청역(2호선) 9번출구 뒤,0,0,37.56322861,126.97483826,ST-185
10,371. 동대입구역 6번출구 뒤,5,50,37.55887222,127.00553894,ST-186
10,372. 약수역 3번출구 뒤,1,10,37.55429459,127.01119995,ST-187
12,374. 청구역 2번출구 앞,10,83,37.56047440,127.01407623,ST-189
7,379. 서울역9번출구,4,57,37.55599976,126.97335815,ST-194
8,380. CJ제일제당 앞,4,50,37.56386566,127.00274658,ST-195
10,381. 장충체육관,18,180,37.55853271,127.00698853,ST-196
7,382. 약수역 10번출구 앞,5,71,37.55519867,127.01004791,ST-197
27,383. 신당역 12번 출구 뒤,29,107,37.56591797,127.01642609,ST-198
5,384. 종로학원본원 ,4,80,37.55978012,126.96850586,ST-199
10,385. 종각역 5번출구,0,0,37.56983566,126.98265839,ST-336
10,387. 훈련원공원주차장 앞,14,140,37.56699371,127.00346375,ST-338
10,388. 동성중학교 앞,10,100,37.58573532,127.00160980,ST-444
9,389. 을지로4가역 1번출구,2,22,37.56673050,126.99660492,ST-943
12,390. 충무로역 1번출구,2,17,37.56138992,126.99535370,ST-944
8,391. 시립미술관,0,0,37.56505203,126.97340393,ST-977
12,393. 동대문역 8번 출구,1,8,37.57014084,127.00937653,ST-1372
15,394. 경희궁 자이 3단지,12,80,37.56748962,126.96591949,ST-1373
8,395. 경희궁 자이 2단지,21,263,37.56885529,126.96456146,ST-1374
13,397. 종묘공영주차장 건너편,3,23,37.57048035,126.99663544,ST-1432
8,398. 을지로3가역 3번출구,0,0,37.56655884,126.99243927,ST-1435
15,399. 서울역 센트럴 자이아파트,8,53,37.55410767,126.96540833,ST-1436
14,400. 상암한화오벨리스크 1차 앞,19,136,37.58752441,126.88300323,ST-110
13,401. 상암월드컵파크 10단지 앞,8,62,37.58618927,126.88161469,ST-76
20,402. 상암월드컵파크 9단지 앞,9,45,37.58292770,126.87983704,ST-77
20,403. 부엉이공원 앞,2,10,37.58559036,126.88472748,ST-78
8,405. DMC빌 앞,0,0,37.58265686,126.88578796,ST-80
15,406. 상암월드컵파크 7단지 앞,2,13,37.58108902,126.88088226,ST-81
17,407. 마포구 육아종합지원센터,10,59,37.58063126,126.88367462,ST-83
14,408. LG CNS앞,1,7,37.58081055,126.88665009,ST-84
30,409. 누리꿈스퀘어 옆,0,0,37.57939911,126.88916016,ST-86
10,410. 상암중학교 옆,4,40,37.57739258,126.88747406,ST-88
10,411. DMC홍보관,0,0,37.57799530,126.89147186,ST-90
21,412. DMC산학협력연구센터 앞,6,29,37.57565689,126.89079285,ST-91
10,413. 상암월드컵파크 3단지 후문,13,130,37.57147598,126.88968658,ST-92
8,414. 상암동주민센터 옆,0,0,37.57822037,126.89447021,ST-94
10,415. DMC역 9번출구 앞,0,0,37.57746887,126.89736176,ST-95
12,416. 상암월드컵파크 1단지 교차로,2,17,37.57566452,126.89444733,ST-96
20,417. DMC역 2번출구 옆,0,0,37.57506943,126.89991760,ST-93
20,418. 월드컵경기장역 3번출구 옆,0,0,37.57048035,126.89889526,ST-89
21,419. 홈플러스 마포점 앞,2,10,37.56842041,126.89942932,ST-87
37,420. 서울시 공공자전거 상암센터,26,70,37.56624603,126.89617920,ST-85
8,421. 마포구청 앞,4,50,37.56574631,126.90186310,ST-82
9,422. 문화비축기지,10,111,37.56897736,126.89440155,ST-968
15,424. 롯데하이마트 (상암월드컵점),2,13,37.57361984,126.89804840,ST-990
10,425. DMC첨단산업센터,2,20,37.58450317,126.88559723,ST-991
10,426. 서울신용보증재단,0,0,37.54906082,126.95417786,ST-992
12,427. 성산시영아파트,24,200,37.56937790,126.90402985,ST-1397
10,428. 명보사거리,1,10,37.56439972,126.99143219,ST-1437
8,429. 송도병원,2,25,37.54988861,127.00734711,ST-1438
6,430. 장충동먹자골목 앞,0,0,37.56212616,127.00625610,ST-1439
25,431. 청계천 영도교,15,60,37.57101440,127.01974487,ST-1440
10,432. 마포중앙도서관,0,0,37.56333923,126.90820312,ST-1494
12,433. 을지로입구역 2번출구,6,50,37.56634521,126.98229218,ST-1668
10,434. 신당 래미안 버스정류장,13,130,37.56148911,127.02393341,ST-1669
10,435. SK 남산빌딩,1,10,37.55686188,126.97561646,ST-1670
10,436. 이대역 5번출구,0,0,37.55659103,126.94618988,ST-1675
11,437. 대흥역 1번출구,10,91,37.54846954,126.94092560,ST-1691
15,438. 성산2-1 공영주차장,4,27,37.56472015,126.90676880,ST-1692
15,440. 하늘공원 입구,8,53,37.57012177,126.88134766,ST-1754
15,441.염천교사거리,1,7,37.55989075,126.97149658,ST-1761
13,442.서울역 서부,23,177,37.55641556,126.96919250,ST-1768
9,443.호암아트홀,0,0,37.56211090,126.97071838,ST-1769
15,445.대한상공회의소,1,7,37.56015396,126.97410583,ST-1771
13,446. 상명대입구,8,62,37.60012817,126.95783234,ST-938
6,447. 신영동삼거리,1,17,37.60399246,126.96194458,ST-939
10,449. 일성아파트,8,80,37.60871887,126.97286224,ST-941
51,450. 효자동 삼거리,24,47,37.58360291,126.97254944,ST-978
8,451. 청와대앞길,1,13,37.58351517,126.97966766,ST-979
13,452. 동대문 종합시장 버스정류장,10,77,37.57123947,127.00440979,ST-1605
10,453. 종로오가 지하쇼핑센터 14번출구,6,60,37.57114029,127.00067139,ST-1606
13,454. 종로2가 버스정류장 (종각방향),0,0,37.57035828,126.98638153,ST-1607
8,455. 종로6가역 버스정류장(동대문 방향),1,13,37.57096100,127.00605774,ST-1608
10,456. 숭인2동 주민센터 입구,27,270,37.57447052,127.01982880,ST-1609
10,457. 종로꽃시장 입구 옆,13,130,37.57131958,127.00720978,ST-1610
21,458. 광화문역 5번출구,0,0,37.56989288,126.97756958,ST-1611
10,461. 서울지방경찰청,1,10,37.57436371,126.97236633,ST-1619
10,464. 삼청동 골목,6,60,37.58419037,126.98169708,ST-1756
5,465. 삼청공원 앞,0,0,37.58760452,126.98359680,ST-1759
13,466.롯데호텔,10,77,37.56584167,126.97981262,ST-1772
10,467.한국은행,0,0,37.56221390,126.98086548,ST-1773
8,468.웨스틴 조선호텔,0,0,37.56415939,126.97948456,ST-1774
11,469.회현역 1번출구,0,0,37.55923080,126.98014069,ST-1775
13,470.회현역 7번출구,0,0,37.55974579,126.98000336,ST-1776
10,471.회현사거리 남측,0,0,37.56035995,126.98265076,ST-1777
12,472.삼일교(시그니쳐 타워),0,0,37.56787109,126.98840332,ST-1778
20,473.을지로4가역 9번출구,2,10,37.56605148,126.99798584,ST-1779
40,474.동대문역사문화공원역 1번출구 뒤편,17,43,37.56629944,127.00849152,ST-1780
21,475.DDP 패션몰,15,71,37.56764984,127.01181030,ST-1781
10,476.광희문,3,30,37.56443024,127.00995636,ST-1782
10,477.앰배서더 호텔 주변,7,70,37.55928802,127.00268555,ST-1783
8,479.동대입구역 3번 출구,1,13,37.55937576,127.00602722,ST-1785
8,480.약수역 6번 출구,1,13,37.55432129,127.01070404,ST-1786
12,483.남산타운아파트 버스정류장,5,42,37.54758453,127.00643921,ST-1789
10,485.서울역5번출구,5,50,37.55677032,126.97319794,ST-1791
5,486. 평창동주민센터 앞,10,200,37.60627365,126.96832275,ST-2019
10,488.푸르메병원,6,60,37.58456802,126.88021088,ST-2147
10,489.구룡근린공원,0,0,37.58320236,126.88276672,ST-2148
23,490.가온문화공원,0,0,37.58207703,126.88766479,ST-2149
10,491.월드컵파크 4단지,6,60,37.57597733,126.88806915,ST-2150
7,493.홍대입구역 6번출구,10,143,37.55657578,126.92885590,ST-2152
5,494.신수동주민센터,7,140,37.54724503,126.93502808,ST-2153
10,495.염리초등학교 앞,8,80,37.54243088,126.94699860,ST-2154
25,497.합정동주민센터 앞,0,0,37.55175400,126.91230011,ST-2156
10,498.연남동주민센터 앞,2,20,37.56465149,126.92212677,ST-2157
7,500. 어린이대공원역 3번출구 앞,5,71,37.54705048,127.07433319,ST-97
30,501. 광진구의회 앞,20,67,37.53730774,127.07035065,ST-98
33,502. 자양(뚝섬한강공원)역 1번출구 앞,14,42,37.53186035,127.06719208,ST-99
11,505. 자양사거리 광진아크로텔 앞,5,45,37.53701019,127.08224487,ST-102
7,506. 금호 어울림 아파트 앞,6,86,37.54906082,127.05779266,ST-103
10,508. 성수아카데미타워 앞,0,0,37.54516983,127.05757141,ST-105
15,510. 뚝도아리수정수센터 버스정류소 옆,6,40,37.54122162,127.04380035,ST-107
16,511. 서울숲역 5번 출구 옆,2,13,37.54458237,127.04460907,ST-108
15,512. 뚝섬역 1번 출구 옆,2,13,37.54856110,127.04500580,ST-109
13,513. 뚝섬역 5번 출구 정류소 옆,0,0,37.54630661,127.04980469,ST-111
12,514. 성수사거리 버스정류장 앞,4,33,37.54257965,127.06330872,ST-112
10,516. 광진메디칼 앞,18,180,37.54840469,127.06936646,ST-114
20,518. 청계천 박물관 앞,3,15,37.57152557,127.03535461,ST-234
20,519. 양지사거리,11,55,37.56699371,127.02991486,ST-235
7,520. 상왕십리역 4번 출구 앞,6,86,37.56385803,127.03031921,ST-236
14,521. 왕십리역 11번 출구 앞,3,21,37.56144714,127.03491974,ST-237
5,522. 금호역 1번출구 앞,3,60,37.54864120,127.01642609,ST-238
7,523. 옥수동성당 옆,4,57,37.54366302,127.01406097,ST-239
10,524. 래미안금호하이리버 아파트 102동 옆,9,90,37.55220032,127.02505493,ST-240
20,525. 한양대병원사거리,15,75,37.55805206,127.04035187,ST-241
10,526. 용답토속공원 앞,3,30,37.56351089,127.05672455,ST-242
8,529. 장한평역 8번 출구 앞,37,463,37.56137085,127.06365967,ST-243
9,530. 청계벽산아파트 앞,35,389,37.56874847,127.03040314,ST-244
7,533. 금남시장 교차로,15,214,37.54814911,127.02108765,ST-245
10,534. 금호사거리,11,110,37.54863358,127.02572632,ST-246
11,535. 응봉삼거리,0,0,37.55398560,127.03359222,ST-247
8,536. 행당역 2번출구 앞,16,200,37.55735016,127.02921295,ST-248
10,537. 한양대후문역 부근,1,10,37.56035614,127.04139709,ST-249
10,539. 군자교교차로,18,180,37.55979538,127.07420349,ST-252
8,540. 군자역 7번출구 베스트샵 앞,12,150,37.55603027,127.07864380,ST-253
19,542. 강변역 4번출구 뒤,2,11,37.53582382,127.09416199,ST-254
20,543. 구의공원(테크노마트 앞),1,5,37.53598785,127.09462738,ST-255
10,544. 광남중학교,36,360,37.54072952,127.10290527,ST-256
8,546. 잠실대교북단 교차로,6,75,37.53247833,127.08509064,ST-257
20,548. 자양나들목,28,140,37.52976990,127.07485962,ST-258
10,549. 아차산역 3번출구,5,50,37.55122375,127.08970642,ST-259
20,550. 서울시설공단 앞,6,30,37.57164001,127.03565979,ST-251
7,551. 구의삼성쉐르빌 앞,20,286,37.53984070,127.09388733,ST-377
9,552. 대림아크로리버 앞,25,278,37.53657913,127.09297180,ST-378
19,553. 중곡 성원아파트 앞,40,211,37.57125473,127.07980347,ST-379
9,555. 구의3동주민센터,11,122,37.53784943,127.09217072,ST-381
7,556. 달맞이공원,2,29,37.54205322,127.02040100,ST-357
10,557. 도선동 주민센터 앞,25,250,37.56764221,127.02569580,ST-358
20,558. 성동광진 교육지원청 앞,4,20,37.56460571,127.03652191,ST-359
13,559. 왕십리역 4번 출구 건너편,1,8,37.56109619,127.03679657,ST-360
14,560. 비전교회 앞,37,264,37.55120468,127.06893158,ST-361
10,561. 서울숲역 2번출구 앞,5,50,37.54281616,127.04467010,ST-362
10,563. 성동세무서 건너편,2,20,37.54791260,127.06275177,ST-364
7,564. 금호역 3번출구,9,129,37.54792786,127.01557159,ST-365
19,565. 옥수역 3번출구,35,184,37.54136658,127.01776123,ST-366
14,568. 청계8가 사거리 B,25,179,37.57110214,127.02355957,ST-369
10,569. 응봉현대아파트 정류소,1,10,37.54958344,127.03024292,ST-370
